,id,revenue,sales,customers,price
570,WY2011,335841,4353082,59872,7.72
571,US2011,135926713,1328057439,17638062,10.24
572,AK2010,394632,2829738,47844,13.95
573,AL2010,2339092,22983768,356296,10.18
574,AR2010,890628,12188205,178962,7.31
575,AZ2010,2741684,28942918,300507,9.47
576,CA2010,15863515,121151697,1814634,13.09
577,CO2010,1790037,19597222,350073,9.13
578,CT2010,2208560,13427698,153847,16.45
579,DC2010,1236304,9209486,26449,13.42
580,DE2010,490773,4320020,49986,11.36
581,FL2010,8941651,91614093,1127138,9.76
582,GA2010,4338100,47897477,546011,9.06
583,HI2010,869792,3354523,60479,25.93
584,IA2010,951526,12025276,217704,7.91
585,ID2010,389390,5864885,101268,6.64
586,IL2010,4565265,51437414,578768,8.88
587,IN2010,2040756,24364616,341727,8.38
588,KS2010,1272739,15435825,220091,8.25
589,KY2010,1529639,19410547,297050,7.88
590,LA2010,2057616,24203161,274177,8.5
591,MA2010,2651047,18243198,379709,14.53
592,MD2010,3617033,30771317,244264,11.75
593,ME2010,513227,4100906,88266,12.52
594,MI2010,3740718,38123171,520233,9.81
595,MN2010,1887110,22515351,276463,8.38
596,MO2010,2358019,31430653,370955,7.5
597,MS2010,1285951,13804962,224517,9.32
598,MT2010,409363,4789182,101129,8.55
599,NC2010,3910578,47931940,644609,8.16
600,ND2010,340008,4714115,58568,7.21
601,NE2010,727801,9532438,154015,7.64
602,NH2010,635979,4462438,104612,14.25
603,NJ2010,5571154,40122547,478687,13.89
604,NM2010,772589,9015729,135580,8.57
605,NV2010,877691,8969727,154455,9.79
606,NY2010,12601107,77275676,1038260,16.31
607,OH2010,4528123,46525627,612974,9.73
608,OK2010,1415038,19005132,261932,7.45
609,OR2010,1173041,15453588,238450,7.59
610,PA2010,4783808,47366366,678774,10.1
611,RI2010,483825,3693289,56664,13.1
612,SC2010,1986442,22320133,340365,8.9
613,SD2010,329832,4367781,66278,7.55
614,TN2010,2838715,29399025,460404,9.66
615,TX2010,11163356,121467292,1459667,9.19
616,UT2010,741023,10367847,122340,7.15
617,VA2010,3676236,48036984,419950,7.65
618,VT2010,271532,2020937,50620,13.44
619,WA2010,2125160,28833281,353330,7.37
620,WI2010,2296381,23001117,338406,9.98
621,WV2010,610027,7961906,137209,7.66
622,WY2010,320135,4317140,59642,7.42
623,US2010,135553746,1330199364,17674338,10.19
