id,revenue,sales,customers,price
AL2011,2107205,33735427,6491,6.25
AR2011,957043,16993922,32761,5.63
AZ2011,809655,12352241,7212,6.55
CA2011,5046467,49935776,73297,10.11
CO2011,1075882,15241814,16425,7.06
CT2011,485663,3668217,4757,13.24
DC2011,14896,216244,1,6.89
DE2011,230941,2591360,1238,8.91
FL2011,1443926,16885585,17335,8.55
GA2011,2080074,31521020,16241,6.6
HI2011,1040801,3664779,698,28.4
IA2011,1002835,19240204,7378,5.21
ID2011,454720,8912396,26258,5.1
IL2011,2878997,44844111,5843,6.42
IN2011,2945751,47774083,17891,6.17
KS2011,725304,10807373,23986,6.71
KY2011,2326178,43619424,7426,5.33
LA2011,1710595,30058415,18090,5.69
MA2011,2270382,16973507,21021,13.38
MD2011,438877,5007386,8900,8.76
ME2011,267894,3015739,2823,8.88
MI2011,2315040,31624220,12961,7.32
MN2011,1527529,23618724,10673,6.47
MO2011,1013187,17329648,8759,5.85
MS2011,1062287,16263203,6931,6.53
MT2011,210061,3982700,5877,5.27
NC2011,1597233,26554615,10609,6.01
ND2011,269476,4318558,3639,6.24
NE2011,681020,10589701,51373,6.43
NH2011,237521,1936413,3491,12.27
NJ2011,918011,8033254,12715,11.43
NM2011,418868,6910284,7603,6.06
NV2011,891991,13419961,3506,6.65
NY2011,1051444,13420153,8222,7.83
OH2011,3298277,53913437,19712,6.12
OK2011,863213,15808845,18242,5.46
OR2011,653955,11963131,23300,5.47
PA2011,3833723,49585444,25047,7.73
RI2011,103254,915857,1958,11.27
SC2011,1668821,28094021,4459,5.94
SD2011,160315,2586352,2905,6.2
TN2011,2070122,28638453,2017,7.23
TX2011,6368043,102128869,99033,6.24
UT2011,475870,9332992,9378,5.1
VA2011,1118027,17218005,4082,6.49
VT2011,139239,1417104,221,9.83
WA2011,1141672,27932787,27845,4.09
WI2011,1715020,23406711,4527,7.33
WV2011,724244,11720437,12446,6.18
WY2011,555109,10261954,9067,5.41
US2011,67605690,991315564,727920,6.82
AK2010,187290,1324083,1350,14.14
AL2010,1945053,32349585,6915,6.01
AR2010,913220,16774699,32408,5.44
AZ2010,758910,11441974,7143,6.63
CA2010,4831623,49301025,75160,9.8
CO2010,1047503,15171843,15060,6.9
CT2010,538690,3712952,4973,14.51
DC2010,17777,229597,1,7.74
DE2010,241673,2525939,1241,9.57
FL2010,1528594,17265268,18048,8.85
GA2010,1932099,31046909,15648,6.22
HI2010,805925,3672487,686,21.94
IA2010,1011344,18865105,6555,5.36
ID2010,452704,8796047,26047,5.15
IL2010,3011060,44180125,5991,6.82
IN2010,2734471,46551671,18796,5.87
KS2010,664062,10650764,23304,6.23
KY2010,2273807,45022361,7268,5.05
LA2010,1646496,28186816,18128,5.84
MA2010,2346600,17116157,16162,13.71
MD2010,486917,5083115,8766,9.58
ME2010,280544,3058827,2821,9.17
MI2010,2183317,30840513,12827,7.08
MN2010,1433278,22797763,10150,6.29
MO2010,953656,17330169,8899,5.5
MS2010,992969,15707378,6797,6.32
MT2010,235469,4239477,5218,5.55
NC2010,1623228,26315850,11016,6.17
ND2010,223760,3849552,2641,5.81
NE2010,612988,10210349,45032,6.0
NH2010,247747,1942167,3495,12.76
NJ2010,995278,8428639,12960,11.81
NM2010,400122,6660142,7259,6.01
NV2010,971592,13179708,3484,7.37
NY2010,1184683,13480462,8364,8.79
OH2010,3397912,53109368,20693,6.4
OK2010,810789,15151987,18356,5.35
OR2010,631878,11708420,22638,5.4
PA2010,3480921,45457627,27293,7.66
RI2010,113621,960833,1975,11.83
SC2010,1567886,27307074,4477,5.74
SD2010,143156,2360245,3290,6.07
TN2010,1903857,28929637,2027,6.58
TX2010,6420039,99754412,127608,6.44
UT2010,434488,8808211,9431,4.93
VA2010,1141321,17141224,5380,6.66
VT2010,137851,1445961,219,9.53
WA2010,1085311,26632814,27970,4.08
WI2010,1606232,23451807,4496,6.85
WV2010,681014,11622934,12348,5.86
WY2010,501285,10069117,8933,4.98
US2010,65772007,971221189,747747,6.77
